🤖  A–Z AI Tools Directory
Complete Guide — Links, Free & Premium Plans

  🟢 Free Tier Available        💰 Paid/Premium        🏢 Enterprise  

🤖  Chat AI

💻  Coding AI

🎨  Image Generation AI

🎬  Video Generation AI

🎤  Voice AI

🌐  Website Builder AI

📱  App Builder AI

⚡  Automation AI

📊  Productivity AI

📚  Education AI

🧠  Research AI

🎵  Music AI

📈  Marketing AI

🛒  Ecommerce AI

🔒  Cybersecurity AI

☁️  Cloud & DevOps AI

🎮  Game Development AI

🧬  Healthcare AI

📄  Resume & Career AI

📹  Meeting Assistant AI


✅ Prices accurate as of 2024-2025 — verify on official websites before subscribing
Tool Name & Link | Pricing | Plan Types | Key Features
ChatGPTChatGPT | Free / Plus $20/mo / Team $30/mo | 🟢 Free 💰 Premium | GPT-4o, image gen, plugins, voice
ClaudeClaude | Free / Pro $20/mo / Team $30/mo | 🟢 Free 💰 Premium | Long context, coding, analysis, vision
GeminiGemini | Free / Advanced $19.99/mo | 🟢 Free 💰 Premium | Google integration, multimodal
Copilot (Microsoft)Copilot (Microsoft) | Free / Pro $20/mo | 🟢 Free 💰 Premium | Bing search + GPT-4, Office integration
Meta AIMeta AI | Free | 🟢 Free | Integrated in Facebook, Instagram, WhatsApp
Perplexity AIPerplexity AI | Free / Pro $20/mo | 🟢 Free 💰 Premium | Real-time web search + AI answers
You.comYou.com | Free / Pro $20/mo | 🟢 Free 💰 Premium | Search + chat + code + image generation
Pi (Inflection AI)Pi (Inflection AI) | Free | 🟢 Free | Personal AI companion, conversational
HuggingChatHuggingChat | Free (Open Source) | 🟢 Free | Open-source models, free to use
Poe by QuoraPoe by Quora | Free / $19.99/mo | 🟢 Free 💰 Premium | Access multiple AI models in one place
Tool Name & Link | Pricing | Plan Types | Key Features
GitHub CopilotGitHub Copilot | Free (limited) / $10/mo / Business $19/mo | 🟢 Free 💰 Premium | VS Code, JetBrains, Neovim integration
CursorCursor | Free / Pro $20/mo / Business $40/mo | 🟢 Free 💰 Premium | AI-first code editor, codebase chat
Replit AIReplit AI | Free / Core $20/mo | 🟢 Free 💰 Premium | Online IDE with AI, run & deploy code
TabnineTabnine | Free / Pro $12/mo / Enterprise | 🟢 Free 🏢 Enterprise | Code completion, privacy-focused
CodeiumCodeium | Free / Teams $12/mo | 🟢 Free 💰 Premium | Fast AI autocomplete, 70+ languages
Amazon CodeWhispererAmazon CodeWhisperer | Free (Individual) / Professional $19/mo | 🟢 Free 💰 Premium | AWS integration, security scanning
Sourcegraph CodySourcegraph Cody | Free / Pro $9/mo / Enterprise | 🟢 Free 🏢 Enterprise | Codebase-aware AI assistant
Warp AIWarp AI | Free / Team $22/mo | 🟢 Free 💰 Premium | AI-powered terminal
Pieces for DevelopersPieces for Developers | Free / Pro $10/mo | 🟢 Free 💰 Premium | Code snippet manager + AI assistant
v0 by Vercelv0 by Vercel | Free (credits) / Premium $20/mo | 🟢 Free 💰 Premium | Generate UI components from text
Tool Name & Link | Pricing | Plan Types | Key Features
MidjourneyMidjourney | Basic $10/mo / Standard $30/mo / Pro $60/mo | 💰 Paid | Highest quality art generation, Discord-based
DALL-E 3 (OpenAI)DALL-E 3 (OpenAI) | Included in ChatGPT Plus | 💰 Paid | Photorealistic, integrated in ChatGPT
Stable Diffusion (Stability AI)Stable Diffusion (Stability AI) | Free (local) / API paid | 🟢 Free | Open-source, run locally or via API
Adobe FireflyAdobe Firefly | Free (25 credits) / Premium with CC | 🟢 Free | Safe for commercial use, Adobe integration
Canva AI (Magic Media)Canva AI (Magic Media) | Free / Pro $12.99/mo | 🟢 Free 💰 Premium | Text-to-image inside Canva designs
IdeogramIdeogram | Free / Basic $7/mo / Plus $16/mo | 🟢 Free 💰 Premium | Best for text in images, typography
Leonardo AILeonardo AI | Free (150 tokens/day) / Apprentice $10/mo | 🟢 Free 💰 Premium | Game assets, concept art, fine-tuned models
Bing Image CreatorBing Image Creator | Free (with Microsoft account) | 🟢 Free | Powered by DALL-E 3, free to use
Playground AIPlayground AI | Free (500 images/day) / Pro $15/mo | 🟢 Free 💰 Premium | Mix of styles, canvas editing
NightCafeNightCafe | Free (credits) / various plans | 🟢 Free | Multiple algorithms, NFT export
Tool Name & Link | Pricing | Plan Types | Key Features
Sora (OpenAI)Sora (OpenAI) | ChatGPT Plus/Pro required | 💰 Paid | 1080p video up to 20 seconds from text
Runway MLRunway ML | Free (125 credits) / Standard $15/mo / Pro $35/mo | 🟢 Free 💰 Premium | Gen-3, image-to-video, video editing
Pika LabsPika Labs | Free / Standard $8/mo / Unlimited $28/mo | 🟢 Free 💰 Premium | Text/image to video, lip sync
Kling AIKling AI | Free (limited) / Standard $10/mo / Pro $35/mo | 🟢 Free 💰 Premium | Realistic motion, 2-min videos
Luma Dream MachineLuma Dream Machine | Free (30 gen/mo) / Plus $29.99/mo | 🟢 Free 💰 Premium | Smooth realistic video from text/image
HeyGenHeyGen | Free (1 min) / Creator $29/mo | 🟢 Free 💰 Premium | AI avatars, video translation, lip sync
SynthesiaSynthesia | Starter $29/mo / Creator $89/mo | 💰 Paid | Professional AI avatar videos, 130+ avatars
Invideo AIInvideo AI | Free / Plus $25/mo / Max $60/mo | 🟢 Free 💰 Premium | Text to video, auto voiceover, templates
Pictory AIPictory AI | Starter $23/mo / Professional $47/mo | 💰 Paid | Blog/script to video, auto subtitles
Veed.ioVeed.io | Free / Basic $18/mo / Pro $30/mo | 🟢 Free 💰 Premium | AI video editor, subtitles, translation
Tool Name & Link | Pricing | Plan Types | Key Features
ElevenLabsElevenLabs | Free (10k chars) / Starter $5/mo / Creator $22/mo | 🟢 Free 💰 Premium | Most realistic voice cloning & TTS
Murf AIMurf AI | Free / Creator $29/mo / Business $99/mo | 🟢 Free 💰 Premium | 120+ voices, studio-quality voiceovers
Play.htPlay.ht | Free / Creator $31.2/mo / Unlimited $49/mo | 🟢 Free 💰 Premium | Voice cloning, 900+ voices, 142 languages
Resemble AIResemble AI | Free (trial) / Basic $29/mo | 🟢 Free 💰 Premium | Real-time voice cloning, emotion control
SpeechifySpeechify | Free / Premium $139/yr | 🟢 Free 💰 Premium | Text-to-speech for reading, 30+ languages
LOVO AI (Genny)LOVO AI (Genny) | Free / Basic $19/mo / Pro $39/mo | 🟢 Free 💰 Premium | 500+ voices, AI writer + voice combo
Replica StudiosReplica Studios | Free (30 min) / Indie $24/mo | 🟢 Free 💰 Premium | Game & film voice acting AI
Wellsaid LabsWellsaid Labs | Teams $50/mo (estimated) | 💰 Paid | Enterprise text-to-speech, brand voices
TypecastTypecast | Free / Plus $15/mo / Pro $30/mo | 🟢 Free 💰 Premium | AI actor voices, video+voice combo
Coqui TTSCoqui TTS | Free (open source) | 🟢 Free | Open-source voice cloning, self-hostable
Tool Name & Link | Pricing | Plan Types | Key Features
Wix ADIWix ADI | Free / Premium from $17/mo | 🟢 Free 💰 Premium | Auto-generates full website from answers
Framer AIFramer AI | Free / Mini $5/mo / Basic $15/mo | 🟢 Free 💰 Premium | AI site generation, CMS, animations
10Web10Web | Personal $10/mo / Premium $24/mo | 💰 Paid | WordPress AI builder, page speed 90+
DurableDurable | Free (trial) / Starter $12/mo / Business $20/mo | 🟢 Free 💰 Premium | 30-second AI website builder
Hostinger Website BuilderHostinger Website Builder | Premium $2.99/mo (incl. hosting) | 💰 Paid | AI-powered drag-drop with free domain
GoDaddy AiroGoDaddy Airo | Free / plans from $9.99/mo | 🟢 Free 💰 Premium | AI builds site + logo + content
Webflow AIWebflow AI | Free / Basic $18/mo / CMS $29/mo | 🟢 Free 💰 Premium | AI copywriting + pro web design tool
MixoMixo | Starter $9/mo / Growth $19/mo | 💰 Paid | Launch landing page in 30 seconds
Zyro (Hostinger)Zyro (Hostinger) | Basic from $2.61/mo | 💰 Paid | AI writer + heatmap + logo tools
Jimdo DolphinJimdo Dolphin | Free / Start €9/mo / Grow €15/mo | 🟢 Free 💰 Premium | AI interview-based website creation
Tool Name & Link | Pricing | Plan Types | Key Features
BubbleBubble | Free / Starter $32/mo / Growth $134/mo | 🟢 Free 💰 Premium | No-code app builder, very powerful
AdaloAdalo | Free / Starter $45/mo | 🟢 Free 💰 Premium | Native mobile app builder, no-code
GlideGlide | Free / Maker $49/mo / Business $149/mo | 🟢 Free 💰 Premium | Google Sheets to app in minutes
AppMasterAppMaster | Free / Starter $65/mo / Business $165/mo | 🟢 Free 💰 Premium | Backend + web + mobile AI app builder
ThunkableThunkable | Free / Pro $13/mo / Team $50/mo | 🟢 Free 💰 Premium | Drag-drop mobile app builder
BuildFireBuildFire | Starter $19/mo / Growth $59/mo | 💰 Paid | Simple mobile app platform
FlutterFlowFlutterFlow | Free / Standard $30/mo / Pro $70/mo | 🟢 Free 💰 Premium | Flutter-based app builder, exports code
DraftbitDraftbit | Free / Team $49/mo / Pro $99/mo | 🟢 Free 💰 Premium | React Native app builder, real code
Bravo StudioBravo Studio | Free / Pro €19/mo / Business €59/mo | 🟢 Free 💰 Premium | Figma design to native app
SoftrSoftr | Free / Basic $49/mo / Professional $135/mo | 🟢 Free 💰 Premium | Airtable/Google Sheets to web app
Tool Name & Link | Pricing | Plan Types | Key Features
Zapier AIZapier AI | Free (100 tasks/mo) / Starter $29.99/mo / Professional $73.50/mo | 🟢 Free 💰 Premium | 5000+ app integrations, AI automation builder
Make (Integromat)Make (Integromat) | Free (1000 ops) / Core $10.59/mo / Pro $18.82/mo | 🟢 Free 💰 Premium | Visual workflow builder, complex automations
n8nn8n | Free (self-hosted) / Cloud $20/mo / Pro $50/mo | 🟢 Free 💰 Premium | Open-source, self-hostable automation
ActivepiecesActivepieces | Free / Platform $1200/yr | 🟢 Free 💰 Premium | Open-source Zapier alternative
IFTTTIFTTT | Free / Pro $3.33/mo / Pro+ $12.50/mo | 🟢 Free 💰 Premium | Simple if-this-then-that automations
BardeenBardeen | Free / Power $10/mo / Business $15/mo | 🟢 Free 💰 Premium | Browser automation, scraping, AI actions
Lindy AILindy AI | Free / Standard $49.99/mo | 🟢 Free 💰 Premium | AI employees that automate tasks
Relay.appRelay.app | Free / Starter $9/mo / Team $49/mo | 🟢 Free 💰 Premium | Human-in-the-loop automation
WorkatoWorkato | Enterprise pricing (custom) | 🏢 Enterprise | Enterprise-grade iPaaS automation
PipedreamPipedream | Free / Basic $29/mo / Advanced $79/mo | 🟢 Free 💰 Premium | Code + no-code automation, 1000+ APIs
Tool Name & Link | Pricing | Plan Types | Key Features
Notion AINotion AI | Free (limited) / AI add-on $10/mo | 🟢 Free 💰 Premium | Writing, summarizing, databases in Notion
Microsoft 365 CopilotMicrosoft 365 Copilot | Business plans from $30/user/mo | 💰 Paid | Word, Excel, PowerPoint, Teams AI
Google Duet AI / Gemini for WorkspaceGoogle Duet AI / Gemini for Workspace | Business Starter $6/mo + AI add-on $30/mo | 💰 Paid | Docs, Sheets, Gmail, Meet AI
Otter.aiOtter.ai | Free / Pro $16.99/mo / Business $30/mo | 🟢 Free 💰 Premium | Meeting transcription + AI summaries
Todoist AITodoist AI | Free / Pro $4/mo / Business $6/mo | 🟢 Free 💰 Premium | AI task suggestions, smart scheduling
MotionMotion | Individual $19/mo / Team $12/mo/user | 💰 Paid | AI calendar + task scheduler
Reclaim AIReclaim AI | Free / Starter $10/mo / Business $15/mo | 🟢 Free 💰 Premium | Smart calendar blocking, habit scheduling
Mem AIMem AI | Free / Pro $14.99/mo | 🟢 Free 💰 Premium | AI note-taking, auto-organizes notes
CleoCleo | Free / Cleo Plus $5.99/mo | 🟢 Free 💰 Premium | AI financial assistant + budgeting
Jasper AIJasper AI | Creator $49/mo / Teams $125/mo | 💰 Paid | AI writing for marketing + content
Tool Name & Link | Pricing | Plan Types | Key Features
Khan Academy KhanmigoKhan Academy Khanmigo | Free (Khanmigo limited) / Khanmigo $44/yr | 🟢 Free 💰 Premium | AI tutor for students and teachers
Socratic by GoogleSocratic by Google | Free | 🟢 Free | Homework help via photo scan, all subjects
Duolingo MaxDuolingo Max | Free / Super $12.99/mo / Max $29.99/mo | 🟢 Free 💰 Premium | AI language learning, roleplay conversations
Quizlet AIQuizlet AI | Free / Plus $7.99/mo | 🟢 Free 💰 Premium | AI flashcards, study plans, practice tests
Coursera AI TutorCoursera AI Tutor | Free (audit) / Plus $59/mo | 🟢 Free 💰 Premium | AI tutor inside online university courses
PhotomathPhotomath | Free / Plus $9.99/mo / Teacher $19.99/mo | 🟢 Free 💰 Premium | Scan math problems, step-by-step solutions
GrammarlyGrammarly | Free / Premium $12/mo / Business $15/mo | 🟢 Free 💰 Premium | Writing assistant, grammar, tone, clarity
QuillBotQuillBot | Free / Premium $8.33/mo | 🟢 Free 💰 Premium | Paraphrasing, summarizing, grammar check
ElicitElicit | Free (5000 credits) / Plus $10/mo | 🟢 Free 💰 Premium | AI research assistant, literature review
Wolfram AlphaWolfram Alpha | Free / Pro $7.25/mo / Pro Premium $12/mo | 🟢 Free 💰 Premium | Computational knowledge, STEM answers
Tool Name & Link | Pricing | Plan Types | Key Features
